(128,0,0)
(220,20,60)
(255,0,0)
(255,99,71)
(255,127,80)
(205,92,92)
(240,128,128)
(233,150,122)
(255,75,0)
(255,140,0)
(255,165,0)
(184,134,11)
(238,165,32)
(128,128,0)
(154,205,50)
(173,255,47)
(0,255,0)
(144,238,144)
(143,188,143)
(102,205,170)
(60,179,113)
(32,178,170)
(0,128,128)
(0,255,255)
(0,206,209)
(64,224,208)
(175,238,238)
(127,255,212)
(70,130,180)
(100,149,237)
(0,191,255)
(30,144,255)
(173,216,230)
(135,206,235)
(135,206,250)
(25,25,112)
(0,0,205)
(0,0,255)
(65,105,225)
(138,43,226)
(75,0,130)
(72,61,139)
(106,90,205)
(123,104,238)
(147,112,219)
(139,0,139)
(148,0,211)
(186,85,211)
(128,0,128)
(221,160,221)
(238,130,238)
(255,0,255)
(199,21,133)
(219,112,147)
(255,20,147)
(255,105,180)
(255,182,193)
(139,69,19)
(210,105,30)
(205,133,63)
(244,164,96)
(222,184,135)
(188,143,143)
(112,128,144)
(176,196,222)
(240,255,240)
